Project Name,Project ID,Location/Address,Start Date,End Date,Status,Project Manager,Budget,Priority,Completion Percentage,Description,Client Name,Estimated Hours
Tucker Mall Renovation,PRJ-2025-001,4166 Lavista Rd Tucker GA 30084,01/15/2025,06/30/2025,Active,Antione Harrell,125000,High,25,Complete electrical renovation of Tucker Mall including new panel installations and lighting upgrades,Tucker Mall Management,2500
Office Complex Wiring,PRJ-2025-002,1234 Business Blvd Tucker GA 30084,02/01/2025,04/15/2025,Active,Antione Harrell,85000,Medium,15,New office building electrical installation with modern wiring and energy-efficient systems,Northside Development,1700
Residential Development Phase 1,PRJ-2025-003,5678 Residential Way Tucker GA 30084,03/01/2025,08/31/2025,Planning,Antione Harrell,200000,Medium,0,Electrical installation for 24-unit residential development including underground utilities,Tucker Homes LLC,4000
Industrial Facility Upgrade,PRJ-2025-004,9012 Industrial Dr Tucker GA 30084,04/01/2025,07/15/2025,Planning,Antione Harrell,150000,High,0,Upgrade electrical systems for manufacturing facility including high-voltage equipment,Metro Manufacturing,3000
School District Maintenance,PRJ-2025-005,Various Tucker Schools,01/01/2025,12/31/2025,Active,Antione Harrell,75000,Medium,30,Ongoing electrical maintenance and repairs for Tucker school district facilities,Tucker County Schools,1500
Retail Center Expansion,PRJ-2025-006,2468 Commerce Way Tucker GA 30084,05/15/2025,09/30/2025,Planning,Antione Harrell,110000,Medium,0,Electrical work for retail center expansion including new storefronts and parking lot lighting,Commerce Properties,2200
Hospital Emergency Generator,PRJ-2025-007,1357 Medical Center Dr Tucker GA 30084,02/15/2025,05/01/2025,Active,Antione Harrell,95000,Critical,40,Installation of backup generator system and emergency electrical circuits for hospital,Tucker Medical Center,1900
Apartment Complex Rewiring,PRJ-2025-008,8642 Apartment Ln Tucker GA 30084,06/01/2025,10/15/2025,Planning,Antione Harrell,180000,High,0,Complete rewiring of 48-unit apartment complex with modern electrical panels and outlets,Sunset Apartments,3600
Municipal Building Upgrade,PRJ-2025-009,975 City Hall Dr Tucker GA 30084,03/15/2025,06/30/2025,Planning,Antione Harrell,65000,Medium,0,Electrical upgrades for city hall including LED lighting conversion and panel modernization,City of Tucker,1300
Warehouse Distribution Center,PRJ-2025-010,3691 Logistics Blvd Tucker GA 30084,07/01/2025,11/30/2025,Planning,Antione Harrell,220000,High,0,Electrical installation for new warehouse facility including high-bay lighting and conveyor systems,Tucker Logistics,4400
Church Renovation Project,PRJ-2025-011,1472 Faith Ave Tucker GA 30084,04/15/2025,08/15/2025,Planning,Antione Harrell,55000,Low,0,Electrical renovation for church sanctuary including new lighting and sound system wiring,First Baptist Tucker,1100
